siec;kandydat;max_iteracji;iteracje;wynik;motyw;
Scerevisiae_new;graphs_n3_1_0;260;21;13211.333333333334;-1;1.964
Scerevisiae_new;graphs_n4_2_0;998;21;152428.2380952381;-1;2.058
Scerevisiae_new;graphs_n4_2_1;1333;21;40798.0;-1;1.693
Scerevisiae_new;graphs_n5_3_0;3869;3869;1794903.5688808477;0;3.440
Scerevisiae_new;graphs_n5_3_1;3042;21;726506.6666666666;-1;1.778
Scerevisiae_new;graphs_n5_3_2;3297;21;418189.4761904762;-1;1.771
Scerevisiae_new;graphs_n6_6_0;3577;24;20592007.916666668;1;2.553
Scerevisiae_new;graphs_n6_6_1;638;638;9388964.940438872;0;2.689
Scerevisiae_new;graphs_n6_6_2;361;140;13606563.035714285;1;3.171
Scerevisiae_new;graphs_n6_6_3;280;21;1032285.5714285715;-1;2.751
Scerevisiae_new;graphs_n6_6_4;208;21;1658151.761904762;-1;1.458
Scerevisiae_new;graphs_n6_6_5;208;21;1220501.857142857;-1;1.469
filmweb10k;graphs_n3_1_0;100;21;42669.95238095238;-1;0
filmweb10k;graphs_n4_2_0;100;21;208503.2857142857;-1;0
filmweb10k;graphs_n4_2_1;100;21;242111.0;-1;0
filmweb10k;graphs_n5_3_0;118;21;1183858.0476190476;-1;0
filmweb10k;graphs_n5_3_1;127;21;2904855.0476190476;-1;0
filmweb10k;graphs_n5_3_2;137;21;1542591.857142857;-1;0
filmweb10k;graphs_n6_6_0;385;21;7319218.761904762;-1;0
filmweb10k;graphs_n6_6_1;347;21;18917194.76190476;1;0
filmweb10k;graphs_n6_6_2;323;23;20475187.826086957;1;0
filmweb10k;graphs_n6_6_3;325;22;7134733.2727272725;-1;0
filmweb10k;graphs_n6_6_4;309;21;15531319.523809524;1;0
filmweb10k;graphs_n6_6_5;313;22;9628632.045454545;-1;0
filmweb15k;graphs_n3_1_0;100;21;123118.85714285714;-1;0
filmweb15k;graphs_n4_2_0;100;21;1015206.1428571428;-1;0
filmweb15k;graphs_n4_2_1;100;21;1172977.8095238095;-1;0
filmweb15k;graphs_n5_3_0;141;23;9771057.0;-1;0
filmweb15k;graphs_n5_3_1;129;21;23116276.19047619;1;0
filmweb15k;graphs_n5_3_2;127;23;12740930.43478261;1;0
filmweb15k;graphs_n6_6_0;236;22;95234227.27272727;1;0
filmweb15k;graphs_n6_6_1;100;21;256183700.0;1;0
filmweb15k;graphs_n6_6_2;100;21;279159319.04761904;1;0
filmweb15k;graphs_n6_6_3;100;21;94294983.8095238;1;0
filmweb15k;graphs_n6_6_4;100;21;201881461.9047619;1;0
filmweb15k;graphs_n6_6_5;100;21;128338028.57142857;1;0
filmweb20k;graphs_n3_1_0;100;21;413736.5238095238;-1;0
filmweb20k;graphs_n4_2_0;100;21;6322708.952380952;-1;0
filmweb20k;graphs_n4_2_1;100;21;7252211.285714285;-1;0
filmweb20k;graphs_n5_3_0;100;21;108468200.0;1;0
filmweb20k;graphs_n5_3_1;100;21;265984133.33333334;1;0
filmweb20k;graphs_n5_3_2;100;21;142148061.9047619;1;0
filmweb20k;graphs_n6_6_0;100;22;1978808000.0;1;0
filmweb20k;graphs_n6_6_1;100;21;5344675523.809524;1;0
filmweb20k;graphs_n6_6_2;100;21;5762944809.523809;1;0
filmweb20k;graphs_n6_6_3;100;21;1963385000.0;1;0
filmweb20k;graphs_n6_6_4;100;22;4273767363.6363635;1;0
filmweb20k;graphs_n6_6_5;100;22;2684206818.181818;1;0
filmweb5k;graphs_n3_1_0;100;21;11576.42857142857;-1;0
filmweb5k;graphs_n4_2_0;100;21;28942.714285714286;-1;0
filmweb5k;graphs_n4_2_1;100;21;33508.666666666664;-1;0
filmweb5k;graphs_n5_3_0;100;21;90223.33333333333;-1;0
filmweb5k;graphs_n5_3_1;100;21;212253.33333333334;-1;0
filmweb5k;graphs_n5_3_2;100;21;115121.57142857143;-1;0
filmweb5k;graphs_n6_6_0;100;21;319167.85714285716;-1;0
filmweb5k;graphs_n6_6_1;100;21;706585.380952381;-1;0
filmweb5k;graphs_n6_6_2;100;21;798656.9523809524;-1;0
filmweb5k;graphs_n6_6_3;100;21;252858.90476190476;-1;0
filmweb5k;graphs_n6_6_4;100;21;605691.7142857143;-1;0
filmweb5k;graphs_n6_6_5;100;21;387038.04761904763;-1;0
hpylo-nonmulti;graphs_n3_1_0;100;21;6854.666666666667;-1;1.462
hpylo-nonmulti;graphs_n4_2_0;100;21;28216.809523809523;-1;2.341
hpylo-nonmulti;graphs_n4_2_1;100;21;36127.0;-1;1.499
hpylo-nonmulti;graphs_n5_3_0;100;21;144315.57142857142;-1;1.424
hpylo-nonmulti;graphs_n5_3_1;100;21;465310.09523809527;-1;1.616
hpylo-nonmulti;graphs_n5_3_2;100;21;184432.0;-1;1.371
hpylo-nonmulti;graphs_n6_6_0;100;21;675268.380952381;-1;1.636
hpylo-nonmulti;graphs_n6_6_1;100;21;3316717.0476190476;-1;1.656
hpylo-nonmulti;graphs_n6_6_2;100;21;2315637.3333333335;-1;1.690
hpylo-nonmulti;graphs_n6_6_3;100;21;1312005.619047619;-1;1.649
hpylo-nonmulti;graphs_n6_6_4;100;21;2358325.0;-1;1.702
hpylo-nonmulti;graphs_n6_6_5;100;21;974601.1904761905;-1;2.675
nba_new;graphs_n3_1_0;100;21;14226974.285714285;-1;0
nba_new;graphs_n4_2_0;100;21;595301180.9523809;1;0
nba_new;graphs_n4_2_1;100;21;1458059476.1904762;1;0
nba_new;graphs_n5_3_0;100;21;21598324285.714287;1;0
