siec;kandydat;max_iteracji;iteracje;wynik;motyw
ecoli;graphs_n3_1_0;500;24;5284.75;-1;1.699
ecoli;graphs_n4_2_0;500;60;73354.86666666667;-1;1.855
ecoli;graphs_n4_2_1;500;25;15878.88;-1;1.447
ecoli;graphs_n5_3_0;500;30;1042374.9666666667;-1;1.441
ecoli;graphs_n5_3_1;500;26;395600.03846153844;-1;1.443
ecoli;graphs_n5_3_2;500;25;90791.68;-1;1.488
ecoli;graphs_n6_6_0;195;55;14081702.054545455;-1;1.315
ecoli;graphs_n6_6_1;500;30;7387223.633333334;-1;1.719
ecoli;graphs_n6_6_2;500;34;2680560.6764705884;-1;1.563
ecoli;graphs_n6_6_3;500;21;623922.0952380953;-1;1.519
ecoli;graphs_n6_6_4;500;23;709123.2608695652;-1;1.527
ecoli;graphs_n6_6_5;500;25;290361.04;-1;1.564
